number,source,year,fert_type,ISO,Town,ppp_price_kg,rel_price,longitude,latitude,acc50,acc100,acc250,distPort,popD,ral_pop,prec,crop_ha,nat_avg
24558,Afr,2018,Urea,TZA,Dodoma,0.86,0.98,35.751812,-6.162996,0.699999988,0.699999988,5.400000095,10.19999981,224,24,931,0.331658362,0.88
18100,Afr,2010,Urea,BEN,SAVALOU,1.2,0.94,1.966946,7.933245,2.099999905,4.900000095,5.199999809,5.900000095,26,46,1579,0.026568231,1.28
23105,Afr,2010,Urea,BEN,APLAHOUE,1.46,1.14,1.673499,6.942219,1.100000024,2.900000095,2.900000095,5.199999809,1708,156,1538,0.55319223,1.28
2725,Afr,2010,Urea,BEN,DASSA,1.08,0.84,2.199076,7.784909,1.5,4.199999809,4.199999809,5.199999809,1109,43,1597,0.834699365,1.28
31100,Afr,2010,Urea,BEN,KETOU,1.36,1.06,2.607781,7.358215,1.700000048,3.200000048,3.200000048,5.300000191,199,51,1659,0,1.28
39102,Afr,2010,Urea,BEN,SINENDE,1.08,0.84,2.383831,10.343826,3.099999905,3.299999952,8.5,11.60000038,67,31,1487,0.899235678,1.28
6015,Afr,2010,Urea,BEN,Cotonou,1.62,1.27,2.432286,6.366687,0.100000001,0.100000001,0.100000001,0.800000012,13286,165,1716,0,1.28
8149,Afr,2011,Urea,BEN,DJIDJA,1.32,1,1.935578,7.346157,5.099999905,7.5,7.5,10.60000038,27,41,1600,0.424023604,1.32
8922,Afr,2011,Urea,BEN,DJOUGOU,1.76,1.33,1.666461,9.699544,0.5,2.799999952,8.100000381,12,30,175,1616,0.895422443,1.32
9713,Afr,2011,Urea,BEN,SAVALOU,1.28,0.97,1.966946,7.933245,2.099999905,4.900000095,5.199999809,5.900000095,26,46,1579,0.026568231,1.32
10215,Afr,2011,Urea,BEN,APLAHOUE,1.4,1.06,1.673499,6.942219,1.100000024,2.900000095,2.900000095,5.199999809,1708,156,1538,0.55319223,1.32
10613,Afr,2011,Urea,BEN,DASSA,1.04,0.79,2.199076,7.784909,1.5,4.199999809,4.199999809,5.199999809,1109,43,1597,0.834699365,1.32
11016,Afr,2011,Urea,BEN,KETOU,1.18,0.89,2.607781,7.358215,1.700000048,3.200000048,3.200000048,5.300000191,199,51,1659,0,1.32
11816,Afr,2011,Urea,BEN,SINENDE,1.06,0.8,2.383831,10.343826,3.099999905,3.299999952,8.5,11.60000038,67,31,1487,0.899235678,1.32
13110,Afr,2011,Urea,BEN,BANIKOARA,1.38,1.05,2.433283,11.299983,3.900000095,5.199999809,8.100000381,14.30000019,51,37,1361,0.861728196,1.32
13918,Afr,2011,Urea,BEN,Cotonou,1.56,1.18,2.432286,6.366687,0.100000001,0.100000001,0.100000001,0.800000012,13286,165,1716,0,1.32
14819,Afr,2011,Urea,BEN,Kerou,1.24,0.94,2.109755,10.825017,3.900000095,5.5,10.39999962,17,40,18,1458,0.875078856,1.32
15228,Afr,2011,Urea,BEN,AZOVE,1.36,1.03,1.702803,6.947411,1.100000024,2.900000095,2.900000095,5.199999809,1708,156,1538,0.55319223,1.32
16019,Afr,2012,Urea,BEN,DJIDJA,1.34,1.33,1.935578,7.346157,5.099999905,7.5,7.5,10.60000038,27,41,1600,0.424023604,1.01
16814,Afr,2012,Urea,BEN,DJOUGOU,0.86,0.85,1.666461,9.699544,0.5,2.799999952,8.100000381,12,30,175,1616,0.895422443,1.01
17620,Afr,2012,Urea,BEN,SAVALOU,1.12,1.11,1.966946,7.933245,2.099999905,4.900000095,5.199999809,5.900000095,26,46,1579,0.026568231,1.01
18125,Afr,2012,Urea,BEN,APLAHOUE,1.26,1.25,1.673499,6.942219,1.100000024,2.900000095,2.900000095,5.199999809,1708,156,1538,0.55319223,1.01
18513,Afr,2012,Urea,BEN,DASSA,0.96,0.95,2.199076,7.784909,1.5,4.199999809,4.199999809,5.199999809,1109,43,1597,0.834699365,1.01
18910,Afr,2012,Urea,BEN,KETOU,1.04,1.03,2.607781,7.358215,1.700000048,3.200000048,3.200000048,5.300000191,199,51,1659,0,1.01
19710,Afr,2012,Urea,BEN,SINENDE,0.98,0.97,2.383831,10.343826,3.099999905,3.299999952,8.5,11.60000038,67,31,1487,0.899235678,1.01
21019,Afr,2012,Urea,BEN,BANIKOARA,0.92,0.91,2.433283,11.299983,3.900000095,5.199999809,8.100000381,14.30000019,51,37,1361,0.861728196,1.01
21812,Afr,2012,Urea,BEN,Cotonou,1.32,1.31,2.432286,6.366687,0.100000001,0.100000001,0.100000001,0.800000012,13286,165,1716,0,1.01
22712,Afr,2012,Urea,BEN,Kerou,0.84,0.83,2.109755,10.825017,3.900000095,5.5,10.39999962,17,40,18,1458,0.875078856,1.01
23914,Afr,2013,Urea,BEN,DJIDJA,1.52,1.46,1.935578,7.346157,5.099999905,7.5,7.5,10.60000038,27,41,1600,0.424023604,1.04
2557,Afr,2013,Urea,BEN,SAVALOU,1.1,1.06,1.966946,7.933245,2.099999905,4.900000095,5.199999809,5.900000095,26,46,1579,0.026568231,1.04
2646,Afr,2013,Urea,BEN,DASSA,0.96,0.92,2.199076,7.784909,1.5,4.199999809,4.199999809,5.199999809,1109,43,1597,0.834699365,1.04
